Thermal Neutron Capture Gammas — Target Nucleus 52Cr

Target Nucleus=52Cr
Strongest transition  Eγ=7938.58+-0.10 keV    %Iγunknown
Eγ
(keV)
ΔEγ
(keV)
Iγ/Iγ(max)
(%)
Δ(Iγ/Iγ(max))
 
564.03		0.04		27.88		0.30	
2120.00		20.00		8.19		0.08	
2320.90		0.20		32.94		0.36	
2656.60		0.00					
2670.80		0.70		6.83		0.08	
2710.30		0.70					
3616.60		0.30		6.42		0.07	
4322.13		0.09		7.13		0.08	
5231.60		0.40		1.37		0.34	
5269.00		0.20		11.33		0.15	
5618.23		0.17		32.29		0.41	
7374.58		0.09		18.94		0.26	
7938.58		0.10		100.00		1.45	
	50Cr		By Target	53Cr	
