#ZVView-data-copy:   6-Feb-2012 13:45:14
#=======================================
#
#name:   ENDF/B-VII.0: GD-155(N,G)GD-156
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  9789
#data...
#            X            Y
#          MeV        barns
         1e-11    2.4735e+6
    1.1024e-11   2.35585e+6
   1.21504e-11   2.24403e+6
   1.33946e-11   2.13731e+6
   1.47633e-11   2.03586e+6
    1.6275e-11   1.93905e+6
   1.79381e-11   1.84702e+6
   1.97749e-11    1.7592e+6
   2.17956e-11   1.67572e+6
   2.40274e-11   1.59604e+6
   2.64826e-11   1.52032e+6
   2.91943e-11   1.44804e+6
   3.21775e-11   1.37935e+6
   3.54723e-11   1.31379e+6
    3.9097e-11   1.25147e+6
   4.31005e-11     1.192e+6
   4.75046e-11   1.13547e+6
    5.2369e-11   1.08153e+6
   5.77202e-11   1.03025e+6
   6.36306e-11       981324
   7.01326e-11       934815
   7.73139e-11       890434
   8.52142e-11       848250
   9.39398e-11       807996
   1.03539e-10       769736
   1.14141e-10       733228
   1.25804e-10       698529
   1.38686e-10       665421
   1.52858e-10       633953
    1.6851e-10       603929
   1.85729e-10       575395
   2.04747e-10       548170
   2.25669e-10       522298
   2.48777e-10       497614
   2.74198e-10       474159
   3.02275e-10       451783
   3.33162e-10       430521
   3.67277e-10       410240
   4.04807e-10       390970
   4.46258e-10       372590
   4.91858e-10       355130
   5.42223e-10       338478
   5.97629e-10       322661
   6.58824e-10       307579
   7.26145e-10       293255
   8.00501e-10       279598
   8.82299e-10       266631
   9.72643e-10       254271
    1.07203e-9       242538
     1.1818e-9       231357
    1.30256e-9       220746
    1.43594e-9       210637
    1.58267e-9       201047
    1.74474e-9       191915
    1.92302e-9       183254
    2.11993e-9       175010
    2.33655e-9       167196
    2.57581e-9       159761
    2.83901e-9       152718
    3.12972e-9       146021
    3.44953e-9       139681
    3.80275e-9       133656
    4.19133e-9       127956
     4.6205e-9       122543
    5.09264e-9       117427
    5.61412e-9       112572
    6.18779e-9       107985
     6.8214e-9       103633
    7.62451e-9      98944.9
    8.52217e-9      94534.2
    9.52551e-9      90380.8
     1.0647e-8      86466.6
    1.19005e-8      82768.5
    1.33016e-8      79258.8
    1.48676e-8      75902.7
    1.68492e-8      72268.8
    1.90986e-8      68724.7
    2.19495e-8      64819.6
    2.50875e-8      60987.4
       2.53e-8      60740.1
     2.9897e-8      55650.3
    3.58278e-8      49555.3
    4.17487e-8      43810.8
    4.66639e-8      39304.2
    5.14421e-8      35195.5
    5.51428e-8      32224.1
     5.9121e-8      29250.3
    6.25045e-8      26906.7
    6.60815e-8      24615.4
    6.88914e-8      22947.8
    7.18346e-8      21322.3
    7.48891e-8      19761.1
    7.80886e-8      18256.2
     8.1409e-8      16826.6
     8.4887e-8      15462.9
    8.84965e-8      14180.4
    9.09936e-8      13365.8
    9.35611e-8      12585.6
    9.62011e-8      11839.9
    9.89155e-8      11128.5
    1.01707e-7        10451
    1.04576e-7      9806.88
    1.07527e-7      9195.61
    1.10561e-7      8616.37
    1.13681e-7      8068.29
    1.16889e-7      7550.44
    1.20187e-7      7061.77
    1.23578e-7      6601.23
    1.27065e-7       6167.7
     1.3065e-7      5760.03
    1.34337e-7      5377.08
    1.38127e-7      5017.69
    1.42025e-7       4680.7
    1.46032e-7      4364.98
    1.50153e-7      4069.42
    1.54389e-7      3792.92
    1.58746e-7      3534.41
    1.63225e-7      3292.88
    1.67831e-7      3067.35
    1.72566e-7      2856.89
    1.77435e-7      2660.65
    1.82442e-7      2477.73
     1.8759e-7      2307.24
    1.92883e-7      2148.26
    1.98326e-7      2000.05
    2.03922e-7      1861.96
    2.09676e-7      1733.37
    2.15592e-7      1613.68
    2.21675e-7      1502.29
     2.2793e-7      1398.64
    2.34361e-7      1302.22
    2.40974e-7      1212.54
    2.47774e-7      1129.12
    2.54765e-7      1051.55
    2.61954e-7      979.419
    2.69345e-7      912.352
    2.76945e-7      849.996
    2.84759e-7      792.025
    2.92794e-7      738.132
    3.01056e-7      688.032
    3.09551e-7       641.46
    3.18285e-7      598.167
    3.27266e-7      557.924
      3.365e-7      520.517
    3.45995e-7      485.756
    3.55758e-7      453.476
    3.65796e-7      423.496
    3.76118e-7      395.604
     3.8673e-7      369.638
    3.97643e-7      345.488
    4.08863e-7      323.038
    4.20399e-7       302.17
    4.32261e-7      282.774
    4.44458e-7      264.745
    4.56999e-7      247.989
    4.69894e-7      232.415
    4.83153e-7      217.941
    4.96786e-7       204.49
    5.10804e-7      191.991
    5.25217e-7      180.379
    5.40036e-7      169.591
    5.55274e-7       159.57
    5.70942e-7      150.266
    5.87052e-7      141.627
    6.03617e-7       133.61
    6.20649e-7      126.172
    6.38161e-7      119.282
    6.56168e-7      112.913
    6.74683e-7      107.008
     6.9372e-7      101.526
    7.13294e-7      96.4464
    7.33421e-7      91.7553
    7.54116e-7      87.4441
    7.75394e-7       83.484
    7.97273e-7      79.8447
    8.19769e-7         76.5
      8.429e-7      73.4415
    8.66684e-7      70.6582
    8.91139e-7      68.1378
    9.16284e-7      65.8695
    9.42138e-7      63.8445
    9.68722e-7       62.055
    9.96056e-7      60.4926
    1.02416e-6      59.1644
    1.05306e-6      58.0656
    1.08277e-6      57.1924
    1.11332e-6      56.5532
    1.14474e-6      56.1565
    1.17863e-6      56.0123
    1.21352e-6      56.1751
    1.24776e-6      56.6417
    1.28297e-6      57.4441
    1.31917e-6      58.6244
    1.35639e-6      60.2607
     1.3851e-6      61.8411
    1.41434e-6      63.7704
    1.44413e-6      66.1098
    1.47448e-6      68.9395
    1.50569e-6      72.4013
    1.52678e-6      75.1142
    1.54817e-6      78.2232
    1.56986e-6      81.8017
    1.59185e-6      85.9386
    1.61416e-6      90.7538
    1.63112e-6      94.9186
    1.64808e-6      99.6023
    1.66552e-6      105.054
    1.68296e-6      111.269
    1.69458e-6      115.911
    1.70653e-6      121.168
    1.71849e-6      126.989
    1.73044e-6      133.462
     1.7424e-6      140.699
    1.75469e-6      149.077
    1.76391e-6      156.092
    1.77312e-6      163.834
    1.78234e-6      172.413
    1.79156e-6       181.96
    1.80104e-6      192.954
    1.81052e-6       205.35
       1.82e-6      219.407
    1.82631e-6      229.856
    1.83263e-6      241.297
    1.83895e-6       253.86
    1.84489e-6      266.829
    1.85045e-6       280.12
    1.85601e-6      294.664
    1.86157e-6      310.618
    1.86713e-6      328.163
    1.87269e-6      347.503
    1.87825e-6       368.87
    1.88381e-6      392.527
    1.88866e-6      415.259
    1.89487e-6      447.569
    1.89901e-6      471.331
    1.90315e-6      497.046
    1.90729e-6      524.868
    1.91143e-6      554.953
    1.91556e-6      587.448
    1.92143e-6      637.867
     1.9266e-6      686.837
    1.93178e-6      740.133
    1.93695e-6      797.739
    1.94212e-6      859.471
     1.9473e-6      924.929
    1.95599e-6      1041.35
    1.97047e-6      1240.02
    1.97627e-6      1314.52
    1.98206e-6      1382.13
    1.98593e-6      1421.99
    1.99144e-6       1469.9
    1.99558e-6       1497.8
    1.99947e-6      1517.04
    2.00324e-6      1528.82
     2.0075e-6      1533.74
    2.01219e-6      1528.74
    2.01711e-6      1512.07
    2.02124e-6      1489.42
    2.02538e-6      1459.58
     2.0298e-6       1420.7
    2.03587e-6      1357.36
    2.04166e-6      1288.88
     2.0527e-6      1146.82
    2.06436e-6      995.853
    2.07112e-6      913.648
    2.07788e-6       837.63
    2.08295e-6      785.268
    2.08802e-6      737.097
    2.09388e-6      686.634
    2.09828e-6      652.387
    2.10268e-6      621.096
    2.10854e-6      583.706
     2.1144e-6      550.893
    2.12027e-6      522.235
    2.12613e-6      497.313
    2.13199e-6      475.733
    2.13838e-6      455.622
    2.14527e-6      437.369
    2.15217e-6      422.296
    2.15907e-6      410.011
    2.16597e-6      400.186
    2.17287e-6      392.545
    2.17976e-6      386.862
    2.18666e-6       382.95
    2.19425e-6       380.51
    2.20132e-6      379.859
    2.21012e-6      381.077
    2.21891e-6      384.413
    2.22771e-6      389.776
     2.2365e-6      397.115
     2.2453e-6      406.423
    2.25551e-6      419.735
    2.26572e-6      435.841
    2.27593e-6      454.911
    2.28614e-6      477.183
    2.29671e-6      503.947
    2.30728e-6       534.93
    2.31433e-6      558.202
    2.32137e-6      583.802
    2.32842e-6      611.962
    2.33547e-6      642.957
    2.34251e-6      677.101
    2.34885e-6      710.826
     2.3552e-6      747.707
    2.36154e-6      788.098
    2.36788e-6      832.409
    2.37422e-6      881.108
    2.38056e-6      934.739
     2.3869e-6      993.932
    2.39325e-6      1059.42
    2.39906e-6      1125.69
    2.40487e-6      1198.71
    2.41069e-6      1279.35
     2.4165e-6      1368.58
    2.42231e-6      1467.54
