*XCOM: benzene
*
*Constituents (Atomic Number : Fraction by Weight)
* Z=1	: 0.077421
* Z=6	: 0.922579
*       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
*       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
*                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
*                                             FIELD    FIELD    SCATT.   SCATT.
*         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
*
       1.000E-03 1.022E+00 1.555E-02 2.039E+03 0.000E+00 0.000E+00 2.040E+03 2.039E+03
       1.500E-03 9.075E-01 3.077E-02 6.454E+02 0.000E+00 0.000E+00 6.464E+02 6.454E+02
       2.000E-03 7.866E-01 4.709E-02 2.784E+02 0.000E+00 0.000E+00 2.792E+02 2.784E+02
       3.000E-03 5.780E-01 7.680E-02 8.272E+01 0.000E+00 0.000E+00 8.337E+01 8.280E+01
       4.000E-03 4.333E-01 9.957E-02 3.436E+01 0.000E+00 0.000E+00 3.489E+01 3.446E+01
       5.000E-03 3.379E-01 1.158E-01 1.721E+01 0.000E+00 0.000E+00 1.767E+01 1.733E+01
       6.000E-03 2.738E-01 1.273E-01 9.729E+00 0.000E+00 0.000E+00 1.013E+01 9.856E+00
       8.000E-03 1.962E-01 1.425E-01 3.913E+00 0.000E+00 0.000E+00 4.252E+00 4.056E+00
       1.000E-02 1.514E-01 1.525E-01 1.915E+00 0.000E+00 0.000E+00 2.219E+00 2.068E+00
       1.500E-02 9.119E-02 1.675E-01 5.154E-01 0.000E+00 0.000E+00 7.741E-01 6.829E-01
       2.000E-02 6.028E-02 1.753E-01 2.008E-01 0.000E+00 0.000E+00 4.364E-01 3.761E-01
       3.000E-02 3.128E-02 1.800E-01 5.264E-02 0.000E+00 0.000E+00 2.640E-01 2.327E-01
       4.000E-02 1.900E-02 1.791E-01 2.023E-02 0.000E+00 0.000E+00 2.183E-01 1.993E-01
       5.000E-02 1.273E-02 1.762E-01 9.618E-03 0.000E+00 0.000E+00 1.986E-01 1.858E-01
       6.000E-02 9.107E-03 1.726E-01 5.232E-03 0.000E+00 0.000E+00 1.870E-01 1.779E-01
       8.000E-02 5.302E-03 1.652E-01 2.002E-03 0.000E+00 0.000E+00 1.725E-01 1.672E-01
       1.000E-01 3.453E-03 1.580E-01 9.516E-04 0.000E+00 0.000E+00 1.624E-01 1.590E-01
       1.500E-01 1.564E-03 1.430E-01 2.497E-04 0.000E+00 0.000E+00 1.448E-01 1.432E-01
       2.000E-01 8.856E-04 1.312E-01 9.812E-05 0.000E+00 0.000E+00 1.322E-01 1.313E-01
       3.000E-01 3.957E-04 1.143E-01 2.750E-05 0.000E+00 0.000E+00 1.147E-01 1.144E-01
       4.000E-01 2.230E-04 1.025E-01 1.173E-05 0.000E+00 0.000E+00 1.027E-01 1.025E-01
       5.000E-01 1.429E-04 9.364E-02 6.310E-06 0.000E+00 0.000E+00 9.379E-02 9.364E-02
       6.000E-01 9.926E-05 8.662E-02 3.924E-06 0.000E+00 0.000E+00 8.672E-02 8.662E-02
       8.000E-01 5.584E-05 7.610E-02 1.979E-06 0.000E+00 0.000E+00 7.615E-02 7.610E-02
       1.000E+00 3.575E-05 6.843E-02 1.230E-06 0.000E+00 0.000E+00 6.847E-02 6.843E-02
       1.022E+00 3.423E-05 6.773E-02 1.134E-06 0.000E+00 0.000E+00 6.776E-02 6.773E-02
       1.250E+00 2.288E-05 6.120E-02 7.702E-07 1.364E-05 0.000E+00 6.123E-02 6.121E-02
       1.500E+00 1.589E-05 5.564E-02 5.593E-07 7.576E-05 0.000E+00 5.573E-02 5.571E-02
       2.000E+00 8.939E-06 4.746E-02 3.530E-07 3.021E-04 0.000E+00 4.778E-02 4.777E-02
       2.044E+00 8.558E-06 4.688E-02 3.416E-07 3.257E-04 0.000E+00 4.722E-02 4.721E-02
       3.000E+00 3.974E-06 3.734E-02 1.981E-07 8.652E-04 1.307E-05 3.823E-02 3.822E-02
       4.000E+00 2.235E-06 3.115E-02 1.363E-07 1.405E-03 5.334E-05 3.261E-02 3.261E-02
       5.000E+00 1.430E-06 2.690E-02 1.036E-07 1.886E-03 1.063E-04 2.890E-02 2.889E-02
       6.000E+00 9.935E-07 2.378E-02 8.336E-08 2.318E-03 1.632E-04 2.626E-02 2.626E-02
       7.000E+00 7.297E-07 2.137E-02 6.971E-08 2.704E-03 2.201E-04 2.430E-02 2.429E-02
       8.000E+00 5.589E-07 1.945E-02 5.986E-08 3.051E-03 2.753E-04 2.278E-02 2.278E-02
       9.000E+00 4.415E-07 1.788E-02 5.246E-08 3.367E-03 3.283E-04 2.157E-02 2.157E-02
       1.000E+01 3.576E-07 1.656E-02 4.668E-08 3.654E-03 3.788E-04 2.060E-02 2.060E-02
       1.100E+01 2.956E-07 1.545E-02 4.201E-08 3.915E-03 4.267E-04 1.979E-02 1.979E-02
       1.200E+01 2.484E-07 1.449E-02 3.820E-08 4.155E-03 4.720E-04 1.912E-02 1.912E-02
       1.300E+01 2.116E-07 1.365E-02 3.502E-08 4.378E-03 5.147E-04 1.854E-02 1.854E-02
       1.400E+01 1.825E-07 1.291E-02 3.233E-08 4.586E-03 5.558E-04 1.806E-02 1.806E-02
       1.500E+01 1.590E-07 1.226E-02 3.002E-08 4.778E-03 5.947E-04 1.763E-02 1.763E-02
