*XCOM:
*
*Constituents (Atomic Number : Fraction by Weight)
* Z=1	: 0.078762
* Z=6	: 0.821238
* Z=29	: 0.100000
*       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
*       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
*                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
*                                             FIELD    FIELD    SCATT.   SCATT.
*         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       1.000E-03 1.419E+00 1.493E-02 2.872E+03 0.000E+00 0.000E+00 2.873E+03 2.872E+03
       1.047E-03 1.406E+00 1.616E-02 2.528E+03 0.000E+00 0.000E+00 2.529E+03 2.528E+03
       1.096E-03 1.394E+00 1.748E-02 2.226E+03 0.000E+00 0.000E+00 2.227E+03 2.226E+03

29 L1  1.096E-03 1.394E+00 1.748E-02 2.336E+03 0.000E+00 0.000E+00 2.337E+03 2.336E+03
       1.500E-03 1.291E+00 2.944E-02 1.016E+03 0.000E+00 0.000E+00 1.017E+03 1.016E+03
       2.000E-03 1.155E+00 4.497E-02 4.627E+02 0.000E+00 0.000E+00 4.639E+02 4.628E+02
       3.000E-03 9.108E-01 7.320E-02 1.481E+02 0.000E+00 0.000E+00 1.491E+02 1.482E+02
       4.000E-03 7.267E-01 9.491E-02 6.498E+01 0.000E+00 0.000E+00 6.580E+01 6.507E+01
       5.000E-03 5.930E-01 1.105E-01 3.402E+01 0.000E+00 0.000E+00 3.472E+01 3.413E+01
       6.000E-03 4.943E-01 1.217E-01 1.997E+01 0.000E+00 0.000E+00 2.058E+01 2.009E+01
       8.000E-03 3.622E-01 1.369E-01 8.545E+00 0.000E+00 0.000E+00 9.044E+00 8.682E+00
       8.979E-03 3.177E-01 1.422E-01 6.066E+00 0.000E+00 0.000E+00 6.526E+00 6.208E+00

29 K   8.979E-03 3.177E-01 1.422E-01 3.007E+01 0.000E+00 0.000E+00 3.053E+01 3.021E+01
       1.000E-02 2.800E-01 1.470E-01 2.315E+01 0.000E+00 0.000E+00 2.358E+01 2.330E+01
       1.500E-02 1.693E-01 1.625E-01 7.766E+00 0.000E+00 0.000E+00 8.098E+00 7.929E+00
       2.000E-02 1.143E-01 1.706E-01 3.487E+00 0.000E+00 0.000E+00 3.772E+00 3.658E+00
       3.000E-02 6.156E-02 1.761E-01 1.092E+00 0.000E+00 0.000E+00 1.330E+00 1.268E+00
       4.000E-02 3.817E-02 1.757E-01 4.701E-01 0.000E+00 0.000E+00 6.839E-01 6.458E-01
       5.000E-02 2.601E-02 1.733E-01 2.421E-01 0.000E+00 0.000E+00 4.413E-01 4.153E-01
       6.000E-02 1.891E-02 1.700E-01 1.400E-01 0.000E+00 0.000E+00 3.289E-01 3.100E-01
       8.000E-02 1.132E-02 1.630E-01 5.854E-02 0.000E+00 0.000E+00 2.329E-01 2.215E-01
       1.000E-01 7.522E-03 1.562E-01 2.963E-02 0.000E+00 0.000E+00 1.933E-01 1.858E-01
       1.500E-01 3.505E-03 1.416E-01 8.568E-03 0.000E+00 0.000E+00 1.536E-01 1.501E-01
       2.000E-01 2.015E-03 1.301E-01 3.575E-03 0.000E+00 0.000E+00 1.357E-01 1.337E-01
       3.000E-01 9.146E-04 1.134E-01 1.075E-03 0.000E+00 0.000E+00 1.154E-01 1.145E-01
       4.000E-01 5.194E-04 1.017E-01 4.768E-04 0.000E+00 0.000E+00 1.027E-01 1.022E-01
       5.000E-01 3.341E-04 9.295E-02 2.624E-04 0.000E+00 0.000E+00 9.355E-02 9.321E-02
       6.000E-01 2.327E-04 8.600E-02 1.655E-04 0.000E+00 0.000E+00 8.640E-02 8.616E-02
       8.000E-01 1.313E-04 7.556E-02 8.441E-05 0.000E+00 0.000E+00 7.578E-02 7.565E-02
       1.000E+00 8.413E-05 6.796E-02 5.253E-05 0.000E+00 0.000E+00 6.809E-02 6.801E-02
       1.022E+00 8.056E-05 6.726E-02 4.986E-05 0.000E+00 0.000E+00 6.739E-02 6.731E-02
       1.250E+00 5.390E-05 6.077E-02 3.371E-05 2.020E-05 0.000E+00 6.088E-02 6.083E-02
       1.500E+00 3.745E-05 5.525E-02 2.429E-05 1.079E-04 0.000E+00 5.542E-02 5.538E-02
       2.000E+00 2.108E-05 4.714E-02 1.496E-05 4.210E-04 0.000E+00 4.760E-02 4.757E-02
       2.044E+00 2.018E-05 4.656E-02 1.444E-05 4.534E-04 0.000E+00 4.705E-02 4.703E-02
       3.000E+00 9.370E-06 3.709E-02 8.098E-06 1.189E-03 1.298E-05 3.831E-02 3.830E-02
       4.000E+00 5.271E-06 3.094E-02 5.445E-06 1.917E-03 5.298E-05 3.292E-02 3.291E-02
       5.000E+00 3.375E-06 2.672E-02 4.071E-06 2.564E-03 1.056E-04 2.940E-02 2.939E-02
       6.000E+00 2.344E-06 2.362E-02 3.239E-06 3.143E-03 1.621E-04 2.693E-02 2.692E-02
       7.000E+00 1.721E-06 2.123E-02 2.684E-06 3.659E-03 2.186E-04 2.511E-02 2.511E-02
       8.000E+00 1.318E-06 1.932E-02 2.290E-06 4.123E-03 2.734E-04 2.372E-02 2.372E-02
       9.000E+00 1.041E-06 1.776E-02 1.994E-06 4.545E-03 3.260E-04 2.263E-02 2.263E-02
