* from http://physics.nist.gov/cgi-bin/Xcom/xcom3_1-t
** Be sure to use 'ASCII output for text-based browsers'
** In addition to standard grid of energy, added 0.1-10.0 MeV in 100keV steps and 3 points at .477,.478,.479 MeV for 10B gammas
*XCOM: Lead
*
*Constituents (Atomic Number : Fraction by Weight)
*Z=82 : 1.000000
*       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
*       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
*                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
*                                             FIELD    FIELD    SCATT.   SCATT.
*         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       1.000E-03 1.251E+01 3.587E-03 5.197E+03 0.000E+00 0.000E+00 5.209E+03 5.197E+03
       1.500E-03 1.201E+01 6.601E-03 2.344E+03 0.000E+00 0.000E+00 2.356E+03 2.344E+03
       2.000E-03 1.144E+01 9.620E-03 1.274E+03 0.000E+00 0.000E+00 1.285E+03 1.274E+03
       2.484E-03 1.088E+01 1.240E-02 7.900E+02 0.000E+00 0.000E+00 8.009E+02 7.900E+02

82 M5  2.484E-03 1.088E+01 1.240E-02 1.385E+03 0.000E+00 0.000E+00 1.396E+03 1.385E+03
       2.534E-03 1.082E+01 1.268E-02 1.636E+03 0.000E+00 0.000E+00 1.647E+03 1.636E+03
       2.586E-03 1.076E+01 1.297E-02 1.933E+03 0.000E+00 0.000E+00 1.944E+03 1.933E+03

82 M4  2.586E-03 1.076E+01 1.297E-02 2.439E+03 0.000E+00 0.000E+00 2.450E+03 2.439E+03
       3.000E-03 1.027E+01 1.525E-02 1.955E+03 0.000E+00 0.000E+00 1.965E+03 1.955E+03
       3.066E-03 1.019E+01 1.560E-02 1.847E+03 0.000E+00 0.000E+00 1.857E+03 1.847E+03

82 M3  3.066E-03 1.019E+01 1.560E-02 2.136E+03 0.000E+00 0.000E+00 2.146E+03 2.136E+03
       3.301E-03 9.929E+00 1.684E-02 1.782E+03 0.000E+00 0.000E+00 1.792E+03 1.782E+03
       3.554E-03 9.652E+00 1.813E-02 1.486E+03 0.000E+00 0.000E+00 1.496E+03 1.486E+03

82 M2  3.554E-03 9.652E+00 1.813E-02 1.575E+03 0.000E+00 0.000E+00 1.585E+03 1.575E+03
       3.699E-03 9.496E+00 1.887E-02 1.432E+03 0.000E+00 0.000E+00 1.441E+03 1.432E+03
       3.851E-03 9.335E+00 1.963E-02 1.302E+03 0.000E+00 0.000E+00 1.311E+03 1.302E+03

82 M1  3.851E-03 9.335E+00 1.963E-02 1.358E+03 0.000E+00 0.000E+00 1.368E+03 1.358E+03
       4.000E-03 9.179E+00 2.037E-02 1.242E+03 0.000E+00 0.000E+00 1.251E+03 1.242E+03
       5.000E-03 8.208E+00 2.516E-02 7.222E+02 0.000E+00 0.000E+00 7.305E+02 7.223E+02
       6.000E-03 7.362E+00 2.970E-02 4.598E+02 0.000E+00 0.000E+00 4.672E+02 4.598E+02
       8.000E-03 6.002E+00 3.807E-02 2.226E+02 0.000E+00 0.000E+00 2.287E+02 2.227E+02
       1.000E-02 4.982E+00 4.540E-02 1.256E+02 0.000E+00 0.000E+00 1.306E+02 1.257E+02
       1.304E-02 3.851E+00 5.435E-02 6.310E+01 0.000E+00 0.000E+00 6.700E+01 6.315E+01

82 L3  1.304E-02 3.851E+00 5.435E-02 1.582E+02 0.000E+00 0.000E+00 1.621E+02 1.583E+02
       1.500E-02 3.308E+00 5.920E-02 1.082E+02 0.000E+00 0.000E+00 1.116E+02 1.083E+02
       1.520E-02 3.258E+00 5.964E-02 1.045E+02 0.000E+00 0.000E+00 1.078E+02 1.045E+02

82 L2  1.520E-02 3.258E+00 5.964E-02 1.452E+02 0.000E+00 0.000E+00 1.485E+02 1.453E+02
       1.553E-02 3.180E+00 6.037E-02 1.380E+02 0.000E+00 0.000E+00 1.412E+02 1.381E+02
       1.586E-02 3.104E+00 6.112E-02 1.312E+02 0.000E+00 0.000E+00 1.344E+02 1.313E+02

82 L1  1.586E-02 3.104E+00 6.112E-02 1.517E+02 0.000E+00 0.000E+00 1.548E+02 1.517E+02
       2.000E-02 2.338E+00 6.897E-02 8.397E+01 0.000E+00 0.000E+00 8.637E+01 8.404E+01
       3.000E-02 1.377E+00 8.228E-02 2.886E+01 0.000E+00 0.000E+00 3.032E+01 2.894E+01
       4.000E-02 9.202E-01 9.019E-02 1.335E+01 0.000E+00 0.000E+00 1.436E+01 1.344E+01
       5.000E-02 6.545E-01 9.478E-02 7.292E+00 0.000E+00 0.000E+00 8.042E+00 7.387E+00
       6.000E-02 4.900E-01 9.734E-02 4.432E+00 0.000E+00 0.000E+00 5.020E+00 4.530E+00
       8.000E-02 3.078E-01 9.923E-02 2.012E+00 0.000E+00 0.000E+00 2.419E+00 2.112E+00
       8.800E-02 2.632E-01 9.928E-02 1.547E+00 0.000E+00 0.000E+00 1.910E+00 1.647E+00

82 K   8.800E-02 2.632E-01 9.928E-02 7.321E+00 0.000E+00 0.000E+00 7.684E+00 7.421E+00
       1.000E-01 2.128E-01 9.894E-02 5.237E+00 0.000E+00 0.000E+00 5.549E+00 5.336E+00
       1.500E-01 1.049E-01 9.484E-02 1.815E+00 0.000E+00 0.000E+00 2.015E+00 1.910E+00
