*XCOM: toluene
*
*Constituents (Atomic Number : Fraction by Weight)
*Z=1	: 0.087513
*Z=6	: 0.912487
*     PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
*      ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
*                                ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
*                                            FIELD    FIELD    SCATT.   SCATT.
*        (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
*
       1.000E-03 1.015E+00 1.593E-02 2.017E+03 0.000E+00 0.000E+00 2.018E+03 2.017E+03
       1.500E-03 9.008E-01 3.151E-02 6.384E+02 0.000E+00 0.000E+00 6.393E+02 6.384E+02
       2.000E-03 7.807E-01 4.819E-02 2.753E+02 0.000E+00 0.000E+00 2.762E+02 2.754E+02
       3.000E-03 5.735E-01 7.845E-02 8.182E+01 0.000E+00 0.000E+00 8.247E+01 8.190E+01
       4.000E-03 4.298E-01 1.015E-01 3.398E+01 0.000E+00 0.000E+00 3.452E+01 3.409E+01
       5.000E-03 3.350E-01 1.179E-01 1.703E+01 0.000E+00 0.000E+00 1.748E+01 1.714E+01
       6.000E-03 2.714E-01 1.295E-01 9.623E+00 0.000E+00 0.000E+00 1.002E+01 9.752E+00
       8.000E-03 1.945E-01 1.448E-01 3.871E+00 0.000E+00 0.000E+00 4.210E+00 4.015E+00
       1.000E-02 1.500E-01 1.547E-01 1.894E+00 0.000E+00 0.000E+00 2.199E+00 2.049E+00
       1.500E-02 9.032E-02 1.697E-01 5.097E-01 0.000E+00 0.000E+00 7.697E-01 6.794E-01
       2.000E-02 5.970E-02 1.773E-01 1.986E-01 0.000E+00 0.000E+00 4.356E-01 3.759E-01
       3.000E-02 3.097E-02 1.820E-01 5.207E-02 0.000E+00 0.000E+00 2.650E-01 2.340E-01
       4.000E-02 1.881E-02 1.809E-01 2.001E-02 0.000E+00 0.000E+00 2.197E-01 2.009E-01
       5.000E-02 1.260E-02 1.780E-01 9.513E-03 0.000E+00 0.000E+00 2.001E-01 1.875E-01
       6.000E-02 9.016E-03 1.743E-01 5.175E-03 0.000E+00 0.000E+00 1.885E-01 1.795E-01
       8.000E-02 5.249E-03 1.667E-01 1.980E-03 0.000E+00 0.000E+00 1.740E-01 1.687E-01
       1.000E-01 3.418E-03 1.595E-01 9.412E-04 0.000E+00 0.000E+00 1.639E-01 1.605E-01
       1.500E-01 1.548E-03 1.443E-01 2.469E-04 0.000E+00 0.000E+00 1.461E-01 1.445E-01
       2.000E-01 8.767E-04 1.325E-01 9.705E-05 0.000E+00 0.000E+00 1.334E-01 1.326E-01
       3.000E-01 3.918E-04 1.154E-01 2.720E-05 0.000E+00 0.000E+00 1.158E-01 1.154E-01
       4.000E-01 2.207E-04 1.034E-01 1.160E-05 0.000E+00 0.000E+00 1.037E-01 1.035E-01
       5.000E-01 1.414E-04 9.450E-02 6.241E-06 0.000E+00 0.000E+00 9.465E-02 9.451E-02
       6.000E-01 9.826E-05 8.742E-02 3.881E-06 0.000E+00 0.000E+00 8.752E-02 8.743E-02
       8.000E-01 5.528E-05 7.680E-02 1.957E-06 0.000E+00 0.000E+00 7.686E-02 7.680E-02
       1.000E+00 3.539E-05 6.907E-02 1.217E-06 0.000E+00 0.000E+00 6.910E-02 6.907E-02
       1.022E+00 3.388E-05 6.836E-02 1.122E-06 0.000E+00 0.000E+00 6.839E-02 6.836E-02
       1.250E+00 2.265E-05 6.176E-02 7.618E-07 1.354E-05 0.000E+00 6.180E-02 6.178E-02
       1.500E+00 1.573E-05 5.615E-02 5.532E-07 7.522E-05 0.000E+00 5.624E-02 5.623E-02
       2.000E+00 8.849E-06 4.790E-02 3.492E-07 3.000E-04 0.000E+00 4.821E-02 4.820E-02
       2.044E+00 8.471E-06 4.731E-02 3.379E-07 3.234E-04 0.000E+00 4.765E-02 4.764E-02
       3.000E+00 3.934E-06 3.769E-02 1.959E-07 8.591E-04 1.319E-05 3.856E-02 3.856E-02
       4.000E+00 2.213E-06 3.144E-02 1.348E-07 1.395E-03 5.384E-05 3.289E-02 3.289E-02
       5.000E+00 1.416E-06 2.715E-02 1.024E-07 1.872E-03 1.073E-04 2.913E-02 2.913E-02
       6.000E+00 9.835E-07 2.400E-02 8.245E-08 2.302E-03 1.648E-04 2.646E-02 2.646E-02
       7.000E+00 7.223E-07 2.157E-02 6.895E-08 2.684E-03 2.222E-04 2.448E-02 2.447E-02
       8.000E+00 5.532E-07 1.963E-02 5.921E-08 3.030E-03 2.779E-04 2.294E-02 2.294E-02
       9.000E+00 4.371E-07 1.804E-02 5.189E-08 3.343E-03 3.313E-04 2.172E-02 2.172E-02
       1.000E+01 3.540E-07 1.672E-02 4.617E-08 3.628E-03 3.823E-04 2.073E-02 2.073E-02
       1.100E+01 2.926E-07 1.559E-02 4.155E-08 3.887E-03 4.306E-04 1.991E-02 1.991E-02
       1.200E+01 2.459E-07 1.462E-02 3.778E-08 4.125E-03 4.763E-04 1.923E-02 1.923E-02
       1.300E+01 2.095E-07 1.377E-02 3.464E-08 4.347E-03 5.195E-04 1.864E-02 1.864E-02
       1.400E+01 1.806E-07 1.303E-02 3.198E-08 4.553E-03 5.610E-04 1.815E-02 1.815E-02
       1.500E+01 1.574E-07 1.237E-02 2.970E-08 4.745E-03 6.002E-04 1.772E-02 1.772E-02
